tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
342,05:22.6,11:05.3,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,42542,Subscriber,1987,1
288,06:47.0,11:35.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,39920,Subscriber,1967,1
879,07:55.2,22:34.7,3206,Hilltop,40.7311689,-74.0575736,3186,Grove St PATH,40.71958612,-74.04311746,42611,Customer,1976,1
520,08:13.3,16:53.5,3199,Newport Pkwy,40.7287448,-74.0321082,3481,York St,40.71649,-74.04105,45656,Subscriber,1980,1
344,08:59.0,14:43.1,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,19825,Subscriber,1989,2
255,14:41.9,18:57.7,3184,Paulus Hook,40.7141454,-74.0335519,3481,York St,40.71649,-74.04105,45822,Subscriber,1985,1
4449,18:45.1,32:54.8,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,45340,Subscriber,1968,1
405,24:12.4,30:57.6,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,45281,Subscriber,1985,1
509,26:52.1,35:21.9,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,44380,Subscriber,1972,1
396,32:05.7,38:42.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,45277,Subscriber,1968,2
324,38:22.2,43:46.5,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.7211236,-74.03805095,45281,Customer,1976,1
400,45:19.5,52:00.4,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,40318,Subscriber,1985,1
2073,48:11.3,22:44.7,3694,Jackson Square,40.71113,-74.0789,3275,Columbus Drive,40.7183552,-74.03891444,27485,Subscriber,1972,1
636,52:16.4,02:52.7,3202,Newport PATH,40.7272235,-74.0337589,3276,Marin Light Rail,40.71458404,-74.04281706,42151,Subscriber,1988,1
609,53:34.3,03:43.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3203,Hamilton Park,40.72759597,-74.04424731,44319,Subscriber,1966,1
271,55:03.9,59:35.4,3270,Jersey & 6th St,40.72528911,-74.04557168,3202,Newport PATH,40.7272235,-74.0337589,43693,Subscriber,1988,1
12800,57:25.6,30:46.3,3220,5 Corners Library,40.73496102,-74.05950308,3209,Brunswick St,40.7241765,-74.0506564,38937,Subscriber,1987,1
588,58:57.8,08:46.3,3269,Brunswick & 6th,40.72601173,-74.05038893,3483,Montgomery St,40.71942,-74.05099,44387,Customer,1999,2
1032,59:52.6,17:04.8,3214,Essex Light Rail,40.7127742,-74.0364857,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42382,Subscriber,1991,1
408,01:49.6,08:37.8,3269,Brunswick & 6th,40.72601173,-74.05038893,3483,Montgomery St,40.71942,-74.05099,48910,Subscriber,1996,2
167,04:07.1,06:54.6,3185,City Hall,40.7177325,-74.043845,3273,Manila & 1st,40.72165072,-74.04288411,34038,Subscriber,1989,1
575,12:59.0,22:34.6,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,42611,Subscriber,1973,1
1411,24:11.5,47:43.4,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42251,Customer,1991,1
397,29:20.0,35:57.4,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,42159,Subscriber,1994,2
544,32:02.0,41:06.2,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,40549,Subscriber,1994,1
137,32:27.8,34:44.9,3273,Manila & 1st,40.72165072,-74.04288411,3185,City Hall,40.7177325,-74.043845,34038,Subscriber,1989,1
249,41:35.4,45:44.7,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,42117,Subscriber,1987,1
673,52:36.0,03:49.8,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,31244,Subscriber,1977,1
818,58:30.9,12:09.3,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,31092,Customer,1969,0
199,59:21.5,02:41.3,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,42014,Subscriber,1989,1
137,59:26.7,01:44.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3273,Manila & 1st,40.72165072,-74.04288411,32779,Subscriber,1956,2
262,03:33.4,07:56.0,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,45281,Customer,1976,1
1295,04:38.8,26:14.6,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3199,Newport Pkwy,40.7287448,-74.0321082,47254,Subscriber,1991,1
