tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
5955,22:21.0,01:36.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42317,Customer,1969,0,5,2020
401,22:25.8,29:06.9,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,27576,Subscriber,1958,1,5,2020
5988,22:38.0,02:26.2,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42339,Customer,1969,0,5,2020
6518,22:47.5,11:25.9,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.71241882,-74.03852552,42178,Subscriber,1969,1,5,2020
5097,23:07.4,48:04.4,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,42531,Customer,1969,0,5,2020
725,23:25.8,35:31.8,3198,Heights Elevator,40.74871595,-74.0404433,3640,Journal Square,40.73367,-74.0625,42371,Subscriber,1987,1,5,2020
492,23:34.6,31:47.3,3681,Grand St,40.71517768,-74.03768331,3267,Morris Canal,40.71241882,-74.03852552,42167,Customer,1989,1,5,2020
84,25:25.5,26:49.8,3270,Jersey & 6th St,40.72528911,-74.04557168,3278,Monmouth and 6th,40.72568548,-74.04879034,42374,Subscriber,1988,1,5,2020
835,25:29.4,39:25.2,3481,York St,40.71649,-74.04105,3481,York St,40.71649,-74.04105,35358,Customer,1985,2,5,2020
2316,26:34.5,05:11.0,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.71241882,-74.03852552,42369,Subscriber,1977,2,5,2020
1548,27:46.8,53:35.1,3681,Grand St,40.71517768,-74.03768331,3276,Marin Light Rail,40.71458404,-74.04281706,42609,Customer,1995,1,5,2020
2668,29:09.1,13:37.4,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,42136,Subscriber,1981,1,5,2020
367,29:54.6,36:02.0,3212,Christ Hospital,40.73478582,-74.05044364,3198,Heights Elevator,40.74871595,-74.0404433,42481,Customer,1985,1,5,2020
295,30:53.1,35:49.1,3205,JC Medical Center,40.71653978,-74.04963791,3192,Liberty Light Rail,40.7112423,-74.0557013,40517,Customer,1969,0,5,2020
1129,31:02.0,49:51.4,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,42276,Subscriber,1958,1,5,2020
2097,31:38.6,06:35.7,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42156,Subscriber,1975,1,5,2020
